Account Code,Account Name,Account Owner,Account Classification,Parent Account,No of Employees,Ownership,Industry,Account Type,Is Parent Account,Distributor Name,Subsidiary,Region,Phone,Fax,Email,Rating,SIC Code,Annual Revenue,Website
Null,Zigma Software Pvt Ltd,Null,Null,Null,0,0,0,0,False,Null,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,Aashee Infotech Pvt Ltd,Null,Null,Null,0,0,0,0,False,Null,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,3I Infotech Ltd,Null,Null,Null,0,0,0,0,False,Null,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,Unisys Softwares & Holding Inds. Pvt  Ltd,Null,Null,Null,0,0,0,0,False,Null,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,Telesys Software Ltd,Null,Null,Null,0,0,0,0,False,Null,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,Telesys Software pvt Ltd,Null,Null,Null,0,0,0,0,False,Null,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,ObjectOne Information Systems Ltd.,Null,Null,Null,0,0,0,0,False,Null,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,Gracious Software Ltd,Null,Null,Null,0,0,0,0,False,Null,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,I Power Solutions India Pvt Ltd,Null,Null,Null,0,0,0,0,False,Null,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,Innovision E-Commerce Pvt Ltd,Null,Null,Null,0,0,0,0,False,Null,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,Kernex Microsystems (India) Ltd,Null,Null,Null,0,0,0,0,False,Null,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,Ancent Software International Ltd.,JohnSon,2,1101,6500,221,158,61,False,1076,Null,Chennai,0804512541,2222222222,Sivasankar.vadde@example.com,05,02,250000,Null
Null,8K Miles Software Services Pvt Ltd,Null,Null,Null,0,0,0,0,False,Null,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,VMF Soft Tech Ltd,Null,Null,Null,0,0,0,0,False,Null,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,Test Account,Null,Null,Null,0,227,0,0,False,Null,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,Infosys Technologies Ltd.,Null,Null,Null,0,0,0,0,False,Null,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,Innovation Software Exports India Pvt Ltd,Null,Null,Null,0,0,0,0,False,Null,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,Megasoft Ltd.,SivaSankar,2,Megasoft Pvt Ltd,4500,Megasoft Ltd.,Megasoft Ltd.,Megasoft Ltd.,False,Null,Null,Null,8884366363,2222222222,sivasankar@example.com,2,3,52000,www.net.com
